"","fips","month","av_tem"
"1031","12093",1,64.9
"1032","12093",2,67.9
"1033","12093",3,71.6
"1034","12093",4,75.4
"1035","12093",5,76.6
"1036","12093",6,81.3
"1037","12093",7,83.4
"1038","12093",8,84.1
"1039","12093",9,82
"1040","12093",10,79.1
"1041","12097",1,36
"1042","12097",2,36.7
"1043","12097",3,47.7333333333333
"1044","12097",4,52.5666666666667
"1045","12097",5,61.7333333333333
"1046","12097",6,73.1666666666667
"1047","12097",7,76.7
"1048","12097",8,74.7333333333333
"1049","12097",9,66.5
"1050","12097",10,55.1333333333333
"1051","12099",1,67.9
"1052","12099",2,70.4
"1053","12099",3,73.8
"1054","12099",4,77.9
"1055","12099",5,77.9
"1056","12099",6,82.8
"1057","12099",7,83.3
"1058","12099",8,84.6
"1059","12099",9,82.6
"1060","12099",10,80.1
"1061","12101",1,62.9
"1062","12101",2,65.2
"1063","12101",3,72.1
"1064","12101",4,74.2
"1065","12101",5,77
"1066","12101",6,82.1
"1067","12101",7,83.7
"1068","12101",8,83.7
"1069","12101",9,81.7
"1070","12101",10,78.8
"1071","12103",1,64.2
"1072","12103",2,66.2
"1073","12103",3,73.2
"1074","12103",4,75
"1075","12103",5,78
"1076","12103",6,83.3
"1077","12103",7,85.2
"1078","12103",8,84.5
"1079","12103",9,82.4
"1080","12103",10,79.8
"1081","12107",1,38.6222222222222
"1082","12107",2,39.0666666666667
"1083","12107",3,49.9666666666667
"1084","12107",4,53.1777777777778
